model,class,recall_mean,fpr_mean,auc_mean,accuracy_mean,best_params
DecisionTree,0,1.0,0.6666666666666666,0.7916666666666666,0.5453968253968254,"{'max_depth': None, 'max_features': 'sqrt'}"
DecisionTree,1,0.3333333333333333,0.0,0.7916666666666666,0.5453968253968254,"{'max_depth': None, 'max_features': 'sqrt'}"
DecisionTree,micro_average,0.5453968253968254,0.4546031746031746,0.7916666666666666,0.5453968253968254,"{'max_depth': None, 'max_features': 'sqrt'}"
KNN,0,0.3333333333333333,0.3333333333333333,0.5729166666666666,0.518095238095238,"{'n_neighbors': 3, 'weights': 'uniform'}"
KNN,1,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.518095238095238,"{'n_neighbors': 3, 'weights': 'uniform'}"
KNN,micro_average,0.518095238095238,0.4819047619047619,0.5729166666666666,0.518095238095238,"{'n_neighbors': 3, 'weights': 'uniform'}"
LogisticRegression,0,0.7916666666666666,0.3333333333333333,0.8727272727272727,0.766984126984127,{'C': 0.1}
LogisticRegression,1,0.6666666666666666,0.20833333333333334,0.8727272727272727,0.766984126984127,{'C': 0.1}
LogisticRegression,micro_average,0.766984126984127,0.233015873015873,0.8727272727272727,0.766984126984127,{'C': 0.1}
NaiveBayes,0,0.5,0.3333333333333333,0.8250000000000001,0.5447619047619048,{'var_smoothing': 1e-09}
NaiveBayes,1,0.6666666666666666,0.5,0.8250000000000001,0.5447619047619048,{'var_smoothing': 1e-09}
NaiveBayes,micro_average,0.5447619047619048,0.4552380952380952,0.8250000000000001,0.5447619047619048,{'var_smoothing': 1e-09}
RandomForest,0,0.9166666666666666,0.3333333333333333,0.9969696969696971,0.812063492063492,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
RandomForest,1,0.6666666666666666,0.08333333333333333,0.9969696969696971,0.812063492063492,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
RandomForest,micro_average,0.812063492063492,0.18793650793650796,0.9969696969696971,0.812063492063492,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
SVM,0,0.7708333333333334,0.3333333333333333,0.7882575757575757,0.7511111111111112,{'C': 0.1}
SVM,1,0.6666666666666666,0.22916666666666666,0.7882575757575757,0.7511111111111112,{'C': 0.1}
SVM,micro_average,0.7511111111111112,0.24888888888888885,0.7882575757575757,0.7511111111111112,{'C': 0.1}
